UFID,GRND_FLR,HEIGHT,CONT,ABSOLUTE_HEIGHT,latitude,longitude
1986409768512812695800000000,3.0,12.0,0.0,12.0,36.00926755520801,129.3273901784607
1990409458692813140700000000,1.0,7.0,37.59819156563914,44.59819156563914,36.00973478068219,129.32396827950717
1987409421092813570000000000,4.0,17.0,37.443075820545225,54.443075820545225,36.01012941043274,129.32356282553707
1988409496572812706600000000,3.0,12.0,37.772176214594,49.772176214594,36.00933573795909,129.32437653707376
1994409387112813960400000000,4.0,16.0,38.00628607222169,54.00628607222169,36.010488296535975,129.32319651034814
1988409136232819445300000000,3.0,11.0,32.27207185646173,43.27207185646173,36.01548117129918,129.32056075718558
1987409383712814458000000000,4.0,20.0,38.56503643844454,58.56503643844454,36.010937088506935,129.32317200655046
1988409207192821599400000000,2.0,9.0,33.55361189954236,42.55361189954236,36.0174057057787,129.32140413843007
1988409163052816630400000000,4.0,16.0,45.0,61.0,36.01294066450394,129.32078367510198
1988409066582820430000000000,4.0,14.0,40.585095675080446,54.585095675080446,36.016382768077136,129.3198147530269
1988409203902819533700000000,3.0,11.0,28.634433806121702,39.634433806121706,36.01554620538147,129.3213131514701
1999409109032820141700000000,5.0,17.0,37.10887863436491,54.10887863436491,36.01611406558693,129.32027766361924
1987409738602819798200000000,15.0,47.0,23.265906620741156,70.26590662074116,36.01566959918049,129.3272466750121
2017229474912793279700000000,2.0,16.0,25.0,41.0,36.01389724155456,129.32758508045404
1988409726332818893800000000,15.0,48.0,20.67975873221573,68.67975873221573,36.01485787954656,129.32708670107496
0000409650892819432700000000,5.0,20.0,14.999999999999998,35.0,36.015359320691,129.32626485062207
1993409217452814005400000000,1.0,4.0,43.78416040623092,47.78416040623092,36.01056518602698,129.3213173323208
1985409766142820966500000000,2.0,8.0,24.93126921911447,32.93126921911447,36.01671572059494,129.32758282931124
1992409395222820615200000000,15.0,44.0,21.169889476405018,65.16988947640502,36.016479041544514,129.32346222420836
1990409182812819244100000000,19.0,52.0,30.0,82.0,36.015290006623076,129.32107168416576
1991409208482819999300000000,22.0,63.0,28.72150536038129,91.72150536038129,36.01596452934493,129.32137621666033
1994409269542821830400000000,4.0,13.0,30.738166023171342,43.738166023171345,36.017600339057914,129.32210129504338
1991409037972820284800000000,15.0,44.0,40.0,84.0,36.01625818285631,129.31949373598403
0000409609322820583600000000,5.0,20.0,12.774507675084392,32.774507675084394,36.01640462163517,129.3258345783525
1987409081312819979500000000,3.0,13.0,37.64025088551175,50.64025088551175,36.01597397564105,129.31996612286622
1992409270922821302100000000,4.0,13.0,30.0,43.0,36.017124245172525,129.32210263811027
2003409334762814557200000000,5.0,27.0,40.0,67.0,36.011036885073246,129.3226320526525
1995409332782815248000000000,4.0,19.0,40.74016437976694,59.74016437976694,36.01165940473341,129.3226284093143
1987409261022816076600000000,1.0,4.0,44.06898355810866,48.06898355810866,36.012420905882756,129.32185493924933
1988409198432814246000000000,2.0,14.0,45.0,59.0,36.01078588102065,129.32111292368086
1996409209192821098300000000,5.0,19.0,32.802983585669686,51.802983585669686,36.01695402306651,129.3214131002345
2006409323572822239300000000,2.0,6.0,27.413504911675027,33.41350491167503,36.017956939566226,129.32271105715301
1987409199932815530900000000,1.0,5.0,45.0,50.0,36.0119426619707,129.32116347791649
2020229366032790578400000000,5.0,25.0,10.0,35.0,36.01146614137933,129.32636728402719
2007409146292821225900000000,13.0,40.0,42.66137078839298,82.66137078839299,36.017082440469544,129.32071919192182
1993409067852815530100000000,3.0,12.0,56.76124757175936,68.76124757175936,36.011970242954355,129.31969954572813
1993409230382816476100000000,3.0,12.0,45.0,57.0,36.01278722407496,129.32152591412512
2001409562172816573900000000,2.0,12.0,11.617445135141873,23.61744513514187,36.01280408872336,129.3252058460581
1993409175502821896100000000,2.0,8.0,36.849305041312356,44.849305041312356,36.01767960815843,129.32106070106641
1998409221322822436100000000,15.0,44.0,35.0,79.0,36.01815608772075,129.32158284065636
2011409304602815725900000000,3.0,22.0,42.28935191550791,64.28935191550791,36.01209581157819,129.32232873680283
1989409273202814732400000000,3.0,15.0,41.82615201840289,56.82615201840289,36.011207889110416,129.3219544129706
1995409245712821105300000000,4.0,15.0,30.129502088495983,45.12950208849598,36.01695247146062,129.32181799976615
0000409574832819565000000000,5.0,20.0,14.572936526267629,34.572936526267625,36.015494842241345,129.32542531603823
1993409178512817784000000000,2.0,8.0,54.689914103893,62.689914103893,36.013976071590164,129.32098550146483
1993409163952815888900000000,1.0,4.0,45.0,49.0,36.01227274455146,129.32077410767295
2002409226692815020600000000,5.0,16.0,44.25359839260682,60.25359839260682,36.01147739241153,129.32144655508415
1997409045022819576800000000,4.0,22.0,42.3836954232238,64.3836954232238,36.0156191052535,129.31955327922503
1987409173182822390300000000,3.0,13.0,37.62829050973454,50.62829050973454,36.01812512389862,129.3210480468579
1987409354292820613900000000,3.0,13.0,23.817922030587965,36.817922030587965,36.016486683127624,129.32300852273144
1990409326742821031500000000,4.0,15.0,26.8083587969896,41.8083587969896,36.01686865432293,129.32271424251513
1987409536142817923000000000,5.0,20.0,10.0,30.0,36.014024506978814,129.32495308475438
1990409294132820876700000000,4.0,15.0,26.970061857203955,41.97006185720396,36.01673625299147,129.32234874564585
1988409157202819814600000000,15.0,49.0,31.279555561874844,80.27955556187484,36.01580920544081,129.3208028924956
1988409379702820211800000000,15.0,44.0,22.07327296889224,66.07327296889224,36.01611917616621,129.3232795988929
1988409338292814073000000000,1.0,3.0,39.74704800785925,42.74704800785925,36.010600132589374,129.32265846941218
1993409308472819661300000000,2.0,10.0,25.0,35.0,36.015638753516114,129.32247549230576
1990409309892821447300000000,4.0,15.0,30.0,45.0,36.017246716262825,129.3225384308599
1989409208902820520100000000,4.0,14.0,30.0,44.0,36.01643341668239,129.32139462376102
1989409247362820633300000000,4.0,14.0,29.999999999999996,44.0,36.0165270978757,129.32182389081711
1989409242712820148000000000,4.0,14.0,28.584611350760976,42.58461135076098,36.0160911287888,129.32175952063244
1997409235692813802400000000,2.0,12.0,42.830387762379495,54.830387762379495,36.01037846565466,129.32151415046002
1986409804722816647500000000,3.0,12.0,0.0,12.0,36.01281823488749,129.3278961040873
1987409781652819926000000000,15.0,47.0,29.534197315988486,76.53419731598848,36.015775402899585,129.32772718777179
0000409549602821065800000000,5.0,20.0,14.241815376356183,34.241815376356186,36.016851688560706,129.32518538486414
0000409541762820439900000000,5.0,20.0,12.827698523474277,32.827698523474275,36.0162897417094,129.325081857268
